"Height ""","Width """,Container,Material,Liner,Finish,Quantity,Cost
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,10000,0.15405
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,15000,0.143611
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,20000,0.13663
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,50000,0.125476
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,75000,0.117676
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,100000,0.111306
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,400000,0.111306
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,800000,0.111306
3,5.5,"Pouches/Bags, Food/Beverage Containers",Metal BOPP ,PET,Matte,1000000,0.111306
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,1000,0.325
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,2500,0.19656
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,5000,0.15444
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,7500,0.137449
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,10000,0.13078
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,15000,0.12246
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,20000,0.11648
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,50000,0.105482
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,75000,0.101088
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,100000,0.095147
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,400000,0.095147
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,800000,0.095147
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Gloss,1000000,0.095147
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,1000,0.325
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,2500,0.19656
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,5000,0.15444
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,7500,0.137449
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,10000,0.13078
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,15000,0.12246
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,20000,0.11648
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,50000,0.105482
